"year","week","rainfall","evapotranspiration"
1997,1,26.46666666666667,40.1
1998,1,0.0,22.5
1999,1,0.0,43.1
2000,1,14.533333333333333,31.8
2001,1,9.666666666666668,39.900000000000006
2002,1,8.933333333333334,44.5
2003,1,26.46666666666667,33.5
2004,1,0.0,23.500000000000004
2005,1,36.53333333333334,28.200000000000003
2006,1,24.266666666666666,32.5
2007,1,15.133333333333333,32.6
2008,1,56.0,40.599999999999994
2009,1,17.333333333333332,20.2
2010,1,3.8,38.4
2011,1,7.433333333333333,41.199999999999996
2012,1,79.23333333333333,31.2
2013,1,36.06666666666666,38.4
2014,1,12.266666666666667,46.0
2015,1,5.0,23.3
2016,1,36.8,28.9
2017,1,27.6,28.7
1997,2,38.0,27.099999999999998
1998,2,1.5666666666666667,37.1
1999,2,62.9,26.9
2000,2,0.6666666666666666,33.1
2001,2,7.766666666666666,32.699999999999996
2002,2,65.73333333333333,22.4
2003,2,162.86666666666667,22.2
2004,2,3.2,37.0
2005,2,14.466666666666665,37.699999999999996
2006,2,0.6666666666666666,35.3
2007,2,99.6,26.8
2008,2,2.766666666666667,33.7
2009,2,17.46666666666667,38.9
2010,2,18.0,33.8
2011,2,2.8000000000000003,39.0
2012,2,38.60000000000001,34.2
2013,2,0.06666666666666667,39.2
2014,2,9.933333333333334,36.8
2015,2,13.0,39.400000000000006
2016,2,7.533333333333333,33.7
2017,2,0.1,38.8
1997,3,5.9,35.5
1998,3,3.3999999999999995,31.8
1999,3,55.33333333333333,28.1
2000,3,16.366666666666667,32.0
2001,3,2.433333333333333,32.0
2002,3,35.099999999999994,29.200000000000003
2003,3,0.3333333333333333,34.0
2004,3,0.0,37.4
2005,3,4.8999999999999995,36.0
2006,3,3.4,31.7
2007,3,14.3,30.799999999999997
2008,3,0.0,41.300000000000004
2009,3,34.333333333333336,35.1
2010,3,46.53333333333334,34.1
2011,3,141.0,32.3
2012,3,0.0,34.2
2013,3,6.533333333333333,30.2
2014,3,2.1333333333333333,36.099999999999994
2015,3,0.7333333333333334,44.0
2016,3,32.13333333333333,38.0
2017,3,35.8,31.2
1997,4,12.233333333333333,31.4
1998,4,112.13333333333333,25.299999999999997
1999,4,28.299999999999997,35.2
2000,4,26.133333333333333,27.900000000000002
2001,4,11.5,28.500000000000004
2002,4,5.1000000000000005,33.2
2003,4,7.8999999999999995,30.6
2004,4,20.933333333333334,32.1
2005,4,0.0,40.1
2006,4,168.4,28.900000000000002
2007,4,14.1,30.9
2008,4,61.86666666666667,29.6
2009,4,5.133333333333333,36.0
2010,4,11.166666666666666,38.1
2011,4,199.66666666666666,25.3
2012,4,5.8999999999999995,31.999999999999996
2013,4,0.0,39.4
2014,4,43.93333333333334,31.899999999999995
2015,4,1.1333333333333333,40.8
2016,4,11.866666666666667,37.0
2017,4,4.0,33.3
1997,5,0.0,31.999999999999996
1998,5,3.7666666666666666,33.5
1999,5,2.5,31.6
2000,5,19.8,28.8
2001,5,16.96666666666667,29.599999999999998
2002,5,0.6666666666666666,36.2
2003,5,0.0,33.5
2004,5,55.43333333333332,32.8
2005,5,74.83333333333333,26.799999999999997
2006,5,45.699999999999996,29.3
2007,5,23.866666666666667,35.3
2008,5,13.633333333333333,34.5
2009,5,1.0,36.5
2010,5,97.96666666666665,34.0
2011,5,2.1999999999999997,31.1
2012,5,1.2333333333333334,30.2
2013,5,0.0,38.1
2014,5,9.266666666666667,33.8
2015,5,4.333333333333333,36.6
2016,5,94.8,24.4
2017,5,0.0,35.0
1997,6,25.866666666666664,29.3
1998,6,0.0,37.199999999999996
1999,6,0.13333333333333333,32.9
2000,6,2.1666666666666665,33.2
2001,6,48.83333333333333,27.9
2002,6,16.26666666666667,26.7
2003,6,2.5333333333333337,32.8
2004,6,145.36666666666667,20.7
2005,6,25.933333333333334,33.6
2006,6,60.333333333333336,31.5
2007,6,61.166666666666664,27.400000000000002
2008,6,9.6,26.599999999999998
2009,6,5.666666666666667,36.800000000000004
2010,6,20.5,24.6
2011,6,22.2,30.299999999999997
2012,6,6.666666666666667,31.4
2013,6,39.666666666666664,31.7
2014,6,101.13333333333334,27.3
2015,6,20.166666666666664,29.5
2016,6,1.6666666666666667,28.800000000000004
2017,6,5.85,30.700000000000003
1997,7,4.366666666666666,28.999999999999996
1998,7,5.099999999999999,28.500000000000004
1999,7,2.1333333333333333,26.599999999999998
2000,7,15.333333333333332,24.7
