Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
17,Mean Daily Global Radiation,Mj/Sq M
35,Total Priestley-Taylor Potential Evapo-Transpiration,Mm
66,Mean Deficit Of Soil Moisture (Wbal Awc=150mm),Mm
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
1567,Jan-1987,00,100.7,-,
1567,Jan-1987,66,101.3,-,
1567,Feb-1987,00,29.8,-,
1567,Feb-1987,66,108.4,-,
1567,Mar-1987,00,574.7,-,
1567,Mar-1987,66,29.2,-,
1567,Apr-1987,00,156.1,-,
1567,Apr-1987,66,4.6,-,
1567,May-1987,00,91.7,-,
1567,May-1987,66,5.3,-,
1567,Jun-1987,00,115.7,-,
1567,Jun-1987,66,1.0,-,
1567,Jul-1987,00,262.6,-,
1567,Jul-1987,66,1.8,-,
1567,Aug-1987,00,132.5,-,
1567,Aug-1987,66,4.4,-,
1567,Sep-1987,00,185.1,-,
1567,Sep-1987,66,6.6,-,
1567,Oct-1987,00,145.1,-,
1567,Oct-1987,66,11.3,-,
1567,Nov-1987,00,204.5,-,
1567,Nov-1987,66,9.4,-,
1567,Dec-1987,00,339.3,-,
1567,Dec-1987,66,5.1,-,
1567,Jan-1988,00,18.1,-,
1567,Jan-1988,66,77.0,-,
1567,Feb-1988,00,529.9,-,
1567,Feb-1988,66,28.2,-,
1567,Mar-1988,00,232.6,-,
1567,Mar-1988,66,6.8,-,
1567,Apr-1988,00,89.5,-,
1567,Apr-1988,66,7.8,-,
1567,May-1988,00,207.5,-,
1567,May-1988,66,3.4,-,
1567,Jun-1988,00,205.5,-,
1567,Jun-1988,66,0.7,-,
1567,Jul-1988,00,250.1,-,
1567,Jul-1988,66,0.6,-,
1567,Aug-1988,00,293.7,-,
1567,Aug-1988,66,1.3,-,
1567,Sep-1988,00,188.0,-,
1567,Sep-1988,66,4.3,-,
1567,Oct-1988,00,139.1,-,
1567,Oct-1988,66,8.5,-,
1567,Nov-1988,00,331.2,-,
1567,Nov-1988,66,18.2,-,
1567,Dec-1988,00,334.9,-,
1567,Dec-1988,66,24.4,-,
1567,Jan-1989,00,544.1,-,
1567,Jan-1989,66,4.2,-,
1567,Feb-1989,00,187.6,-,
1567,Feb-1989,66,11.1,-,
1567,Mar-1989,00,157.9,-,
1567,Mar-1989,66,13.5,-,
1567,Apr-1989,00,174.1,-,
1567,Apr-1989,66,50.2,-,
1567,May-1989,00,247.1,-,
1567,May-1989,66,2.3,-,
1567,Jun-1989,00,281.5,-,
1567,Jun-1989,66,0.5,-,
1567,Jul-1989,00,146.1,-,
1567,Jul-1989,66,1.4,-,
1567,Aug-1989,00,286.2,-,
1567,Aug-1989,66,1.1,-,
1567,Sep-1989,00,425.0,-,
1567,Sep-1989,66,1.3,-,
1567,Oct-1989,00,357.6,-,
1567,Oct-1989,66,1.0,-,
1567,Nov-1989,00,167.6,-,
1567,Nov-1989,66,20.8,-,
1567,Dec-1989,00,94.3,-,
1567,Dec-1989,66,43.4,-,
1567,Jan-1990,00,148.0,-,
1567,Jan-1990,66,28.5,-,
1567,Feb-1990,00,122.6,-,
1567,Feb-1990,66,18.5,-,
1567,Mar-1990,00,154.7,-,
1567,Mar-1990,66,13.5,-,
1567,Apr-1990,00,217.2,-,
1567,Apr-1990,66,15.7,-,
1567,May-1990,00,155.1,-,
1567,May-1990,66,2.2,-,
1567,Jun-1990,00,247.0,-,
1567,Jun-1990,66,1.0,-,
1567,Jul-1990,00,253.9,-,
1567,Jul-1990,66,0.4,-,
1567,Aug-1990,00,377.2,-,
1567,Aug-1990,66,1.2,-,
1567,Sep-1990,00,139.3,-,
1567,Sep-1990,66,12.5,-,
1567,Oct-1990,00,194.9,-,
1567,Oct-1990,66,3.8,-,
1567,Nov-1990,00,208.9,-,
1567,Nov-1990,66,8.9,-,
1567,Dec-1990,00,69.0,-,
1567,Dec-1990,66,57.1,-,
1567,Jan-1991,00,172.2,-,
1567,Jan-1991,66,85.1,-,
1567,Feb-1991,00,211.0,-,
1567,Feb-1991,66,15.5,-,
1567,Mar-1991,00,107.0,-,
1567,Mar-1991,66,12.8,-,
1567,Apr-1991,00,156.0,-,
1567,Apr-1991,66,3.1,-,
1567,May-1991,00,47.0,-,
1567,May-1991,66,8.0,-,
1567,Jun-1991,00,157.9,-,
1567,Jun-1991,66,2.6,-,
1567,Jul-1991,00,238.4,-,
1567,Jul-1991,66,0.7,-,
1567,Aug-1991,00,310.4,-,
1567,Aug-1991,66,0.8,-,
1567,Sep-1991,00,262.6,-,
1567,Sep-1991,66,2.1,-,
1567,Oct-1991,00,134.0,-,
1567,Oct-1991,66,7.4,-,
1567,Nov-1991,00,117.6,-,
1567,Nov-1991,66,10.3,-,
1567,Dec-1991,00,106.3,-,
1567,Dec-1991,66,60.9,-,
1567,Jan-1992,00,138.3,-,
1567,Jan-1992,66,32.7,-,
1567,Feb-1992,00,181.6,-,
1567,Feb-1992,66,19.4,-,
1567,Mar-1992,00,156.8,-,
1567,Mar-1992,66,16.2,-,
1567,Apr-1992,00,121.2,-,
1567,Apr-1992,66,11.3,-,
1567,May-1992,00,261.4,-,
1567,May-1992,66,0.7,-,
1567,Jun-1992,00,216.1,-,
1567,Jun-1992,66,1.3,-,
1567,Aug-1992,00,241.7,-,
1567,Sep-1992,00,167.5,-,
1567,Sep-1992,66,1.5,-,
1567,Oct-1992,00,346.2,-,
1567,Oct-1992,66,2.0,-,
1567,Nov-1992,00,101.3,-,
1567,Nov-1992,66,11.1,-,
1567,Dec-1992,00,291.1,-,
1567,Dec-1992,66,22.1,-,
1567,Jan-1993,00,59.6,-,
1567,Jan-1993,66,79.1,-,
1567,Feb-1993,00,205.5,-,
1567,Feb-1993,66,58.3,-,
1567,Mar-1993,00,102.5,-,
1567,Mar-1993,66,16.1,-,
1567,Apr-1993,00,162.7,-,
1567,Apr-1993,66,5.9,-,
1567,May-1993,00,143.3,-,
1567,May-1993,66,1.9,-,
1567,Jun-1993,00,267.0,-,
1567,Jun-1993,66,0.4,-,
1567,Jul-1993,00,81.6,-,
1567,Jul-1993,66,2.0,-,
1567,Aug-1993,00,166.7,-,
1567,Aug-1993,66,2.3,-,
1567,Sep-1993,00,119.4,-,
1567,Sep-1993,66,3.3,-,
1567,Oct-1993,00,74.3,-,
1567,Oct-1993,66,28.4,-,
1567,Nov-1993,00,215.9,-,
1567,Nov-1993,66,9.9,-,
1567,Dec-1993,00,181.2,-,
1567,Dec-1993,66,29.5,-,
1567,Jan-1994,00,239.5,-,
1567,Jan-1994,66,17.5,-,
1567,Feb-1994,00,261.0,-,
1567,Feb-1994,66,29.6,-,
1567,Mar-1994,00,46.7,-,
1567,Mar-1994,66,32.9,-,
1567,Apr-1994,00,360.9,-,
1567,Apr-1994,66,11.1,-,
1567,May-1994,00,189.0,-,
1567,May-1994,66,2.8,-,
1567,Jun-1994,00,164.3,-,
1567,Jun-1994,66,1.3,-,
1567,Jul-1994,00,346.3,-,
1567,Jul-1994,66,0.4,-,
1567,Aug-1994,00,198.5,-,
1567,Aug-1994,66,1.3,-,
1567,Sep-1994,00,272.8,-,
1567,Sep-1994,66,3.1,-,
1567,Oct-1994,00,335.9,-,
1567,Oct-1994,66,3.0,-,
1567,Nov-1994,00,75.9,-,
1567,Nov-1994,66,24.6,-,
1567,Dec-1994,00,43.1,-,
1567,Dec-1994,66,95.3,-,
1567,Jan-1995,00,73.1,-,
1567,Jan-1995,66,112.5,-,
1567,Feb-1995,00,133.4,-,
1567,Feb-1995,66,87.3,-,
1567,Mar-1995,00,368.4,-,
1567,Mar-1995,66,18.4,-,
1567,Apr-1995,00,512.4,-,
1567,Apr-1995,66,2.6,-,
1567,May-1995,00,189.5,-,
1567,May-1995,66,2.2,-,
1567,Jun-1995,00,196.6,-,
1567,Jun-1995,66,0.6,-,
1567,Jul-1995,00,351.6,-,
1567,Jul-1995,66,0.1,-,
1567,Aug-1995,00,164.0,-,
1567,Aug-1995,66,1.8,-,
1567,Sep-1995,00,126.9,-,
1567,Sep-1995,66,9.4,-,
1567,Oct-1995,00,185.2,-,
1567,Oct-1995,66,4.0,-,
1567,Nov-1995,00,247.1,-,
1567,Nov-1995,66,8.4,-,
1567,Dec-1995,00,146.8,-,
1567,Dec-1995,66,33.5,-,
1567,Jan-1996,00,104.4,-,
1567,Jan-1996,66,56.1,-,
1567,Feb-1996,00,179.0,-,
1567,Feb-1996,66,51.1,-,
1567,Mar-1996,00,108.3,-,
1567,Mar-1996,66,21.6,-,
1567,Apr-1996,00,218.2,-,
1567,Apr-1996,66,6.8,-,
1567,May-1996,00,166.7,-,
1567,May-1996,66,3.9,-,
1567,Jun-1996,00,298.3,-,
1567,Jun-1996,66,1.1,-,
1567,Jul-1996,00,327.9,-,
1567,Jul-1996,66,1.1,-,
1567,Aug-1996,00,397.7,-,
1567,Aug-1996,66,0.4,-,
1567,Sep-1996,00,329.6,-,
1567,Sep-1996,66,7.0,-,
1567,Oct-1996,00,179.9,-,
1567,Oct-1996,66,11.5,-,
1567,Nov-1996,00,63.5,-,
1567,Nov-1996,66,22.8,-,
1567,Dec-1996,00,373.5,-,
1567,Dec-1996,66,13.3,-,
1567,Jan-1997,00,129.5,-,
1567,Jan-1997,66,25.8,-,
1567,Feb-1997,00,133.3,-,
1567,Feb-1997,66,65.7,-,
1567,Mar-1997,00,201.2,-,
1567,Mar-1997,66,6.5,-,
1567,Apr-1997,00,67.8,-,
1567,Apr-1997,66,8.3,-,
1567,May-1997,00,230.4,-,
1567,May-1997,66,6.4,-,
1567,Jun-1997,00,269.1,-,
1567,Jun-1997,66,0.7,-,
1567,Jul-1997,00,93.8,-,
1567,Jul-1997,66,1.6,-,
1567,Aug-1997,00,122.1,-,
1567,Aug-1997,66,1.9,-,
1567,Sep-1997,00,376.6,-,
1567,Sep-1997,66,1.9,-,
1567,Oct-1997,00,138.2,-,
1567,Oct-1997,66,6.4,-,
1567,Nov-1997,00,124.2,-,
1567,Nov-1997,66,16.5,-,
1567,Dec-1997,00,98.5,-,
1567,Dec-1997,66,32.9,-,
1567,Jan-1998,00,171.8,-,
1567,Jan-1998,66,69.0,-,
1567,Feb-1998,00,90.6,-,
1567,Feb-1998,66,62.7,-,
1567,Mar-1998,00,273.5,-,
1567,Mar-1998,66,28.6,-,
1567,Apr-1998,00,273.9,-,
1567,Apr-1998,66,6.3,-,
1567,May-1998,00,123.0,-,
1567,May-1998,66,2.2,-,
1567,Jun-1998,00,285.6,-,
1567,Jun-1998,66,1.0,-,
1567,Jul-1998,00,505.1,-,
1567,Jul-1998,66,0.9,-,
1567,Aug-1998,00,272.2,-,
1567,Aug-1998,66,2.1,-,
1567,Sep-1998,00,110.8,-,
1567,Sep-1998,66,5.4,-,
1567,Oct-1998,00,159.4,-,
1567,Oct-1998,66,4.9,-,
1567,Nov-1998,00,219.3,-,
1567,Nov-1998,66,30.0,-,
1567,Dec-1998,00,237.1,-,
1567,Dec-1998,66,25.8,-,
1567,Jan-1999,00,194.7,-,
1567,Jan-1999,66,54.2,-,
1567,Feb-1999,00,32.7,-,
1567,Feb-1999,66,60.2,-,
1567,Mar-1999,00,101.4,-,
1567,Mar-1999,66,82.8,-,
1567,Apr-1999,00,219.0,-,
1567,Apr-1999,66,14.6,-,
1567,May-1999,00,82.8,-,
1567,May-1999,66,4.5,-,
1567,Jun-1999,00,139.7,-,
1567,Jun-1999,66,1.0,-,
1567,Jul-1999,00,328.5,-,
1567,Jul-1999,66,1.4,-,
1567,Aug-1999,00,152.8,-,
1567,Aug-1999,66,3.1,-,
1567,Sep-1999,00,177.8,-,
1567,Sep-1999,66,8.9,-,
1567,Oct-1999,00,126.7,-,
1567,Oct-1999,66,14.8,-,
1567,Nov-1999,00,393.8,-,
1567,Nov-1999,66,6.1,-,
1567,Dec-1999,00,165.3,-,
1567,Jan-2000,00,85.8,-,
1567,Jan-2000,66,34.4,-,
1567,Feb-2000,00,27.3,-,
1567,Feb-2000,66,87.5,-,
1567,Mar-2000,00,70.0,-,
1567,Mar-2000,66,93.9,-,
1567,Apr-2000,00,176.5,-,
1567,Apr-2000,66,37.6,-,
1567,May-2000,00,154.2,-,
1567,May-2000,66,4.6,-,
1567,Jun-2000,00,160.8,-,
1567,Jun-2000,66,3.1,-,
1567,Jul-2000,00,204.9,-,
1567,Jul-2000,66,2.2,-,
1567,Aug-2000,00,205.7,-,
1567,Aug-2000,66,2.3,-,
1567,Sep-2000,00,112.1,-,
1567,Sep-2000,66,7.4,-,
1567,Oct-2000,00,109.4,-,
1567,Oct-2000,66,15.3,-,
1567,Nov-2000,00,161.2,-,
1567,Nov-2000,66,29.8,-,
1567,Dec-2000,00,35.6,-,
1567,Dec-2000,66,86.8,-,
1567,Jan-2001,00,37.7,-,
1567,Jan-2001,66,120.2,-,
