--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
       -2.576M         1.000M        |     1    1.5      0    0.0    1.5 
       -1.625M         1.000M        |     2    1.7      0    0.0    1.8 
       -1.037M         1.000M        |     3    1.8      0    0.0    1.9 
      -95.294K         1.000M        |     4    1.8      0    0.0    2.0 
      -45.706K         1.000M        |     5    1.9      0    0.0    2.1 
     -238.854K        24.945K        |     6    2.0      0    0.0    2.2 
      -14.401K        10.966K        |     7    2.1      0    0.0    2.3 
      -83.160K        10.966K        |     8    2.2      0    0.0    2.4 
     -785.488         10.966K        |     9    2.3      0    0.0    2.5 
       -1.975K        10.966K        |    10    2.4      0    0.0    2.6 
      -28.004K        10.966K        |    11    2.5      0    0.0    2.7 
       -1.358K        10.966K        |    12    2.6      0    0.0    2.8 
        2.701K         9.800K        |    13    2.7      0    0.0    2.9 
        3.410K         9.771K        |    14    2.8      0    0.0    3.0 
      806.395          9.761K        |    15    2.9      0    0.0    3.1 
        3.046K         9.756K        |    16    3.0      0    0.0    3.2 
        3.049K         9.231K        |    17    3.1      0    0.0    3.3 
        7.094K         6.035K        |    18    3.2      0    0.0    3.4 
        2.748K         6.035K        |    19    3.3      0    0.0    3.5 
        3.317K         6.035K        |    20    3.4      0    0.0    3.6 
        6.411K         5.538K        |    21    3.5      0    0.0    3.7 
        3.966K         5.538K        |    22    3.6      0    0.0    3.8 
        3.706K         5.538K        |    23    3.8      0    0.0    3.9 
        1.838K         5.467K        |    24    3.9      0    0.0    4.0 
        7.177K         5.458K        |    25    4.0      0    0.0    4.1 
        5.001K         5.309K        |    26    4.1      0    0.0    4.3 
        7.091K         5.297K        |    27    4.2      0    0.0    4.4 
        5.198K         5.289K        |    28    4.3      0    0.0    4.5 
        4.868K         5.277K        |    29    4.4      0    0.0    4.6 
        3.416K         5.269K        |    30    4.5      0    0.0    4.7 
        4.113K         5.097K        |    31    4.7      0    0.0    4.8 
        4.140K         5.097K        |    32    4.8      0    0.0    5.0 
        5.043K         5.097K        |    33    4.9      0    0.0    5.1 
        5.897K         5.097K        |    34    5.0      0    0.0    5.2 
        6.661K         5.096K        |    35    5.1      0    0.0    5.3 
        2.020K         5.096K        |    36    5.3      0    0.0    5.4 
        3.919K         5.096K        |    37    5.4      0    0.0    5.6 
        6.821K         5.096K        |    38    5.5      0    0.0    5.7 
        4.817K         5.094K        |    39    5.6      0    0.0    5.8 
        4.231K         5.092K        |    40    5.7      0    0.0    5.9 
        4.942K         5.090K        |    41    5.9      0    0.0    6.1 
        4.122K         5.084K        |    42    6.0      0    0.0    6.2 
        6.483K         5.076K        |    43    6.1      0    0.0    6.3 
        3.893K         5.058K        |    44    6.2      0    0.0    6.4 
        4.951K         5.058K        |    45    6.3      0    0.0    6.5 
        4.246K         5.058K        |    46    6.5      0    0.0    6.7 
        4.072K         5.042K        |    47    6.6      0    0.0    6.8 
        4.083K         5.042K        |    48    6.7      0    0.0    6.9 
        6.242K         5.042K        |    49    6.9      0    0.0    7.1 
        6.098K         5.012K        |    50    7.0      0    0.0    7.9 
       -2.184M         5.012K        |    51    7.1      0    0.0    8.0 
       -3.351K         5.004K        |    52    7.2      0    0.0    8.2 
      740.585          5.004K        |    53    7.3      0    0.0    8.3 
     -808.912          5.004K        |    54    7.5      0    0.0    8.4 
     -787.591          5.002K        |    55    7.6      0    0.0    8.5 
        1.971K         5.001K        |    56    7.7      0    0.0    8.6 
      704.080          5.001K        |    57    7.8      0    0.0    8.7 
        1.185K         5.001K        |    58    7.9      0    0.0    8.8 
        6.738K         5.000K        |    59    8.0      0    0.0    8.9 
        1.139K         5.000K        |    60    8.1      0    0.0    9.0 
        6.577K         5.000K        |    61    8.2      0    0.0    9.1 
        3.284K         5.000K        |    62    8.3      0    0.0    9.3 
        7.043K         5.000K        |    63    8.4      0    0.0    9.4 
        1.682K         5.000K        |    64    8.6      0    0.0    9.5 
        4.489K         5.000K        |    65    8.7      0    0.0    9.6 
        1.967K         5.000K        |    66    8.8      0    0.0    9.7 
        3.654K         5.000K        |    67    8.9      0    0.0    9.8 
        5.725K         4.999K        |    68    9.0      0    0.0   10.0 
        4.771K         4.999K        |    69    9.2      0    0.0   10.1 
        5.695K         4.999K        |    70    9.3      0    0.0   10.2 
        4.887K         4.999K        |    71    9.4      0    0.0   10.3 
        1.690K         4.999K        |    72    9.5      0    0.0   10.5 
        2.522K         4.999K        |    73    9.7      0    0.0   10.6 
        3.239K         4.999K        |    74    9.8      0    0.0   10.7 
        2.724K         4.999K        |    75    9.9      0    0.0   10.8 
        4.918K         4.999K        |    76   10.0      0    0.0   11.0 
        4.921K         4.999K        |    77   10.2      0    0.0   11.1 
        6.564K         4.999K        |    78   10.3      0    0.0   11.2 
        5.959K         4.999K        |    79   10.4      0    0.0   11.4 
        4.904K         4.999K        |    80   10.5      0    0.0   11.5 
        7.685K         4.999K        |    81   10.7      0    0.0   11.6 
        2.483K         4.999K        |    82   10.8      0    0.0   11.8 
        2.346K         4.999K        |    83   10.9      0    0.0   11.9 
        5.154K         4.999K        |    84   11.1      0    0.0   12.0 
        3.910K         4.999K        |    85   11.2      0    0.0   12.2 
        3.027K         4.999K        |    86   11.3      0    0.0   12.3 
        4.221K         4.999K        |    87   11.5      0    0.0   12.4 
        3.907K         4.997K        |    88   11.6      0    0.0   12.6 
        6.341K         4.996K        |    89   11.7      0    0.0   12.7 
        3.116K         4.993K        |    90   11.9      0    0.0   12.9 
        4.048K         4.993K        |    91   12.0      0    0.0   13.0 
        5.180K         4.993K        |    92   12.2      0    0.0   13.1 
        7.462K         4.991K        |    93   12.3      0    0.0   13.3 
        4.034K         4.991K        |    94   12.4      0    0.0   13.4 
        3.923K         4.984K        |    95   12.6      0    0.0   13.5 
        6.070K         4.984K        |    96   12.7      0    0.0   13.7 
        7.539K         4.980K        |    97   12.9      0    0.0   13.8 
        3.962K         4.980K        |    98   13.0      0    0.0   14.0 
