Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Station,Date(NZST),Percent(%),Depth(cm)

Evaporation (Priestley-Taylor ET)
Station,Date(NZST),Amount(mm),Period(Hrs),Type
1615,19970101:0800,4.9,24,T
1615,19970102:0800,4.8,24,T
1615,19970103:0800,4.0,24,T
1615,19970104:0800,6.9,24,T
1615,19970105:0800,5.0,24,T
1615,19970106:0800,3.1,24,T
1615,19970107:0800,4.8,24,T
1615,19970108:0800,5.8,24,T
1615,19970109:0800,4.5,24,T
1615,19970110:0800,4.6,24,T
1615,19970111:0800,2.0,24,T
1615,19970112:0800,2.3,24,T
1615,19970113:0800,4.7,24,T
1615,19970114:0800,5.0,24,T
1615,19970115:0800,5.7,24,T
1615,19970116:0800,5.1,24,T
1615,19970117:0800,3.8,24,T
1615,19970118:0800,5.7,24,T
1615,19970119:0800,5.5,24,T
1615,19970120:0800,4.8,24,T
1615,19970121:0800,4.9,24,T
1615,19970122:0800,4.7,24,T
1615,19970123:0800,5.6,24,T
1615,19970124:0800,3.7,24,T
1615,19970125:0800,3.6,24,T
1615,19970126:0800,4.1,24,T
1615,19970127:0800,3.7,24,T
1615,19970128:0800,5.2,24,T
1615,19970129:0800,5.0,24,T
1615,19970130:0800,4.9,24,T
1615,19970131:0800,5.1,24,T
1615,19970201:0800,4.7,24,T
1615,19970202:0800,3.4,24,T
1615,19970203:0800,4.9,24,T
1615,19970204:0800,4.1,24,T
1615,19970205:0800,2.1,24,T
1615,19970206:0800,3.9,24,T
1615,19970207:0800,5.0,24,T
1615,19970208:0800,4.0,24,T
1615,19970209:0800,5.3,24,T
1615,19970210:0800,3.8,24,T
1615,19970211:0800,4.9,24,T
1615,19970212:0800,4.2,24,T
1615,19970213:0800,2.4,24,T
1615,19970214:0800,4.3,24,T
1615,19970215:0800,4.6,24,T
1615,19970216:0800,4.8,24,T
1615,19970217:0800,4.1,24,T
1615,19970218:0800,3.9,24,T
1615,19970219:0800,1.5,24,T
1615,19970220:0800,1.7,24,T
1615,19970221:0800,2.9,24,T
1615,19970222:0800,4.5,24,T
1615,19970223:0800,5.1,24,T
1615,19970224:0800,4.2,24,T
1615,19970225:0800,5.1,24,T
1615,19970226:0800,3.2,24,T
1615,19970227:0800,4.6,24,T
1615,19970228:0800,4.2,24,T
1615,19970301:0800,3.5,24,T
1615,19970302:0800,0.9,24,T
1615,19970303:0800,2.1,24,T
1615,19970304:0800,3.8,24,T
1615,19970305:0800,2.2,24,T
1615,19970306:0800,3.3,24,T
1615,19970307:0800,2.0,24,T
1615,19970308:0800,3.0,24,T
1615,19970309:0800,2.4,24,T
1615,19970310:0800,3.9,24,T
1615,19970311:0800,3.9,24,T
1615,19970312:0800,0.2,24,T
1615,19970313:0800,2.0,24,T
1615,19970314:0800,3.2,24,T
1615,19970315:0800,3.6,24,T
1615,19970316:0900,3.5,24,T
1615,19970317:0900,3.1,24,T
1615,19970318:0900,3.0,24,T
1615,19970319:0900,3.1,24,T
1615,19970320:0900,2.6,24,T
1615,19970321:0900,2.6,24,T
1615,19970322:0900,2.5,24,T
1615,19970323:0900,1.5,24,T
1615,19970324:0900,1.9,24,T
1615,19970325:0900,2.9,24,T
1615,19970326:0900,1.9,24,T
1615,19970327:0900,1.7,24,T
1615,19970328:0900,2.8,24,T
1615,19970329:0900,2.8,24,T
1615,19970330:0900,1.7,24,T
1615,19970331:0900,2.6,24,T
1615,19970401:0900,2.8,24,T
1615,19970402:0900,2.5,24,T
1615,19970403:0900,2.2,24,T
1615,19970404:0900,2.2,24,T
1615,19970405:0900,2.5,24,T
1615,19970406:0900,2.7,24,T
1615,19970407:0900,2.3,24,T
1615,19970408:0900,2.4,24,T
1615,19970409:0900,1.0,24,T
1615,19970410:0900,1.6,24,T
1615,19970411:0900,1.9,24,T
1615,19970412:0900,2.1,24,T
1615,19970413:0900,1.9,24,T
1615,19970414:0900,1.9,24,T
1615,19970415:0900,0.6,24,T
1615,19970416:0900,1.8,24,T
1615,19970417:0900,1.5,24,T
1615,19970418:0900,1.6,24,T
1615,19970419:0900,1.8,24,T
1615,19970420:0900,0.6,24,T
1615,19970421:0900,1.5,24,T
1615,19970422:0900,1.6,24,T
1615,19970423:0900,1.4,24,T
1615,19970424:0900,0.5,24,T
1615,19970425:0900,1.5,24,T
1615,19970426:0900,0.9,24,T
1615,19970427:0900,1.1,24,T
1615,19970428:0900,1.0,24,T
1615,19970429:0900,1.0,24,T
1615,19970430:0900,1.6,24,T
1615,19970501:0900,1.3,24,T
1615,19970502:0900,1.2,24,T
1615,19970503:0900,1.1,24,T
1615,19970504:0900,1.3,24,T
1615,19970505:0900,1.1,24,T
1615,19970506:0900,1.1,24,T
1615,19970507:0900,1.2,24,T
1615,19970508:0900,1.0,24,T
1615,19970509:0900,0.9,24,T
1615,19970510:0900,0.6,24,T
1615,19970511:0900,0.9,24,T
1615,19970512:0900,0.4,24,T
1615,19970513:0900,0.2,24,T
1615,19970514:0900,0.8,24,T
1615,19970515:0900,0.3,24,T
1615,19970516:0900,0.8,24,T
1615,19970517:0900,0.6,24,T
1615,19970518:0900,0.6,24,T
1615,19970519:0900,0.7,24,T
1615,19970520:0900,0.9,24,T
1615,19970521:0900,0.5,24,T
1615,19970522:0900,0.4,24,T
1615,19970523:0900,0.3,24,T
1615,19970524:0900,0.2,24,T
1615,19970525:0900,0.1,24,T
1615,19970526:0900,0.3,24,T
1615,19970527:0900,0.5,24,T
1615,19970528:0900,0.5,24,T
1615,19970529:0900,0.6,24,T
1615,19970530:0900,0.5,24,T
1615,19970531:0900,0.3,24,T
1615,19970601:0900,0.1,24,T
1615,19970602:0900,0.1,24,T
1615,19970603:0900,0.1,24,T
1615,19970604:0900,0.2,24,T
1615,19970605:0900,0.2,24,T
1615,19970606:0900,0.4,24,T
1615,19970607:0900,0.3,24,T
1615,19970608:0900,0.3,24,T
1615,19970609:0900,0.2,24,T
1615,19970610:0900,0.2,24,T
1615,19970611:0900,0.2,24,T
1615,19970612:0900,0.3,24,T
1615,19970613:0900,0.3,24,T
1615,19970614:0900,0.3,24,T
