Date,Season,Forecast
2009-05-27,2009,4.1
2009-07-29,2009,4
2009-09-22,2009,4.6
2009-11-09,2009,5.7
2010-02-24,2009,5.7
2010-04-27,2009,6.1
2010-09-23,2009,6.1
2010-05-25,2010,6.6
2010-11-05,2010,6.6
2010-12-10,2010,6.9
2011-02-22,2010,7.5
2011-03-23,2010,7.5
2011-05-24,2010,7.5
2011-09-22,2010,7.6
2011-05-24,2011,6.75
2011-09-02,2011,6.75
2011-10-25,2011,6.3
2011-12-13,2011,6.5
2012-03-12,2011,6.35
2012-05-22,2011,6.05
2012-09-26,2011,6.08
2012-05-22,2012,5.5
2012-08-28,2012,5.25
2012-12-10,2012,5.5
2013-02-27,2012,5.5
2013-03-27,2012,5.8
2013-05-29,2012,5.8
2013-09-25,2012,5.84
2013-05-29,2013,7
2013-07-31,2013,7.5
2013-08-27,2013,7.8
2013-09-24,2013,8.3
2014-02-27,2013,8.65
2014-05-28,2013,8.4
2014-09-24,2013,8.4
2014-05-28,2014,7
2014-07-29,2014,6
2014-08-27,2014,6
2014-09-24,2014,5.3
2014-12-10,2014,4.7
2015-02-26,2014,4.7
2015-04-30,2014,4.5
2015-05-28,2014,4.4
2015-09-24,2014,4.4
2015-05-28,2015,5.25
2015-08-07,2015,3.85
2015-09-24,2015,4.6
2015-12-10,2015,4.6
2016-01-28,2015,4.15
2016-03-08,2015,3.9
2016-03-23,2015,3.9
2016-05-26,2015,3.9
2016-05-26,2016,4.25
2016-08-01,2016,4.25
2016-08-25,2016,4.75
2016-09-21,2016,5.25
2016-11-18,2016,6
2017-05-24,2016,6.15
