--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
       -2.576M         1.000M        |     1    1.4      0    0.0    1.4 
       -1.625M         1.000M        |     2    1.7      0    0.0    1.8 
       -1.030M         1.000M        |     3    1.8      0    0.0    2.0 
      -95.194K         1.000M        |     4    2.0      0    0.0    2.2 
      -45.134K         1.000M        |     5    2.2      0    0.0    2.3 
     -238.625K        26.758K        |     6    2.3      0    0.0    2.5 
     -624.745K        12.712K        |     7    2.5      0    0.0    2.7 
     -278.371K        12.712K        |     8    2.7      0    0.0    2.8 
       -2.337K        12.712K        |     9    2.9      0    0.0    3.0 
       -4.333K        12.711K        |    10    3.0      0    0.0    3.2 
      -45.613K        12.711K        |    11    3.2      0    0.0    3.4 
       -6.525K        12.711K        |    12    3.4      0    0.0    3.5 
       -4.608K        12.711K        |    13    3.6      0    0.0    3.7 
      -18.005K        12.710K        |    14    3.8      0    0.0    3.9 
       -6.103K        12.710K        |    15    3.9      0    0.0    4.1 
       -2.882K        12.709K        |    16    4.1      0    0.0    4.3 
       -1.392K        12.709K        |    17    4.3      0    0.0    4.5 
        2.603K        12.709K        |    18    4.5      0    0.0    4.7 
     -542.743         12.695K        |    19    4.7      0    0.0    4.9 
        2.619K        11.240K        |    20    4.9      0    0.0    5.0 
        3.580K         8.681K        |    21    5.1      0    0.0    5.2 
        4.843K         5.417K        |    22    5.2      0    0.0    5.4 
        3.092K         5.417K        |    23    5.4      0    0.0    5.6 
        1.871K         5.416K        |    24    5.7      0    0.0    5.8 
        7.140K         5.414K        |    25    5.9      0    0.0    6.0 
        4.926K         5.301K        |    26    6.1      0    0.0    6.2 
        7.082K         5.258K        |    27    6.3      0    0.0    6.4 
        4.901K         5.255K        |    28    6.5      0    0.0    6.7 
        5.066K         5.251K        |    29    6.7      0    0.0    6.9 
        3.492K         5.222K        |    30    6.9      0    0.0    7.1 
        4.673K         5.074K        |    31    7.1      0    0.0    7.3 
        4.152K         5.074K        |    32    7.4      0    0.0    7.5 
        5.116K         5.074K        |    33    7.6      0    0.0    7.8 
        6.039K         5.068K        |    34    7.8      0    0.0    8.0 
        6.903K         5.066K        |    35    8.0      0    0.0    8.2 
        1.909K         5.055K        |    36    8.3      0    0.0    8.4 
        3.800K         5.054K        |    37    8.5      0    0.0    8.7 
        6.866K         5.053K        |    38    8.7      0    0.0    8.9 
        4.826K         5.050K        |    39    9.0      0    0.0    9.1 
        4.238K         5.026K        |    40    9.2      0    0.0    9.4 
        5.293K         5.026K        |    41    9.4      0    0.0    9.6 
        4.149K         5.024K        |    42    9.7      0    0.0    9.9 
        6.494K         5.014K        |    43    9.9      0    0.0   10.1 
        3.850K         5.014K        |    44   10.2      0    0.0   10.4 
        5.001K         5.010K        |    45   10.4      0    0.0   10.6 
        4.265K         5.010K        |    46   10.6      0    0.0   10.8 
        4.102K         5.009K        |    47   10.9      0    0.0   11.1 
        4.055K         4.999K        |    48   11.2      0    0.0   11.4 
        6.189K         4.999K        |    49   11.4      0    0.0   11.6 
        6.076K         4.999K        |    50   11.7      0    0.0   12.6 
       -1.395M         4.999K        |    51   12.0      0    0.0   12.9 
     -991.588K         4.997K        |    52   12.2      0    0.0   13.1 
        5.451K         4.987K        |    53   12.4      0    0.0   13.3 
        1.158K         4.987K        |    54   12.6      0    0.0   13.5 
        2.457K         4.981K        |    55   12.8      0    0.0   13.7 
        5.039K         4.980K        |    56   13.0      0    0.0   13.9 
        2.863K         4.974K        |    57   13.2      0    0.0   14.1 
        3.854K         4.974K        |    58   13.4      0    0.0   14.3 
        7.707K         4.970K        |    59   13.6      0    0.0   14.6 
        2.098K         4.970K        |    60   13.8      0    0.0   14.9 
        7.137K         4.969K        |    61   14.1      0    0.0   15.1 
        4.537K         4.967K        |    62   14.3      0    0.0   15.3 
        7.613K         4.962K        |    63   14.5      0    0.0   15.5 
        2.000K         4.962K        |    64   14.7      0    0.0   15.8 
        4.878K         4.962K        |    65   15.0      0    0.0   16.0 
        2.533K         4.961K        |    66   15.2      0    0.0   16.2 
        3.928K         4.958K        |    67   15.4      0    0.0   16.5 
        5.838K         4.958K        |    68   15.7      0    0.0   16.7 
        5.124K         4.956K        |    69   15.9      0    0.0   16.9 
        5.750K         4.949K        |    70   16.2      0    0.0   17.2 
        4.735K         4.948K        |    71   16.4      0    0.0   17.4 
        1.771K         4.947K        |    72   16.6      0    0.0   17.6 
        2.669K         4.945K        |    73   16.9      0    0.0   17.9 
        3.537K         4.945K        |    74   17.1      0    0.0   18.1 
        3.117K         4.945K        |    75   17.3      0    0.0   18.4 
        5.007K         4.943K        |    76   17.6      0    0.0   18.6 
        4.955K         4.943K        |    77   17.8      0    0.0   18.9 
        6.527K         4.943K        |    78   18.1      0    0.0   19.1 
        5.929K         4.942K        |    79   18.4      0    0.0   19.4 
        4.876K         4.942K        |    80   18.6      0    0.0   19.6 
        7.670K         4.941K        |    81   18.9      0    0.0   19.9 
        2.486K         4.941K        |    82   19.1      0    0.0   20.2 
        2.187K         4.936K        |    83   19.4      0    0.0   20.4 
        5.152K         4.936K        |    84   19.7      0    0.0   20.7 
        4.637K         4.936K        |    85   20.0      0    0.0   21.0 
        3.074K         4.935K        |    86   20.2      0    0.0   21.2 
        4.243K         4.933K        |    87   20.5      0    0.0   21.5 
        3.932K         4.932K        |    88   20.7      0    0.0   21.8 
        6.334K         4.932K        |    89   21.0      0    0.0   22.0 
        3.122K         4.930K        |    90   21.3      0    0.0   22.3 
        4.047K         4.928K        |    91   21.6      0    0.0   22.6 
        5.322K         4.928K        |    92   21.9      0    0.0   22.9 
        7.467K         4.927K        |    93   22.1      0    0.0   23.2 
        4.028K         4.926K        |    94   22.5      0    0.0   23.5 
        3.662K         4.926K        |    95   22.8      0    0.0   23.8 
        6.077K         4.926K        |    96   23.0      0    0.0   24.1 
        7.562K         4.925K        |    97   23.3      0    0.0   24.4 
