--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
      -68.790M         1.060M        |     1    0.3      0    0.0    0.3 
      -60.451M         1.060M        |     2    0.5      0    0.0    0.6 
      -47.807M         1.060M        |     3    0.7      0    0.0    0.8 
      -33.403M         1.060M        |     4    0.9      0    0.0    1.0 
      -21.234M         1.060M        |     5    1.2      0    0.0    1.2 
      -13.711M         1.060M        |     6    1.4      0    0.0    1.4 
      -10.827M         1.060M        |     7    1.6      0    0.0    1.6 
       -7.257M         1.060M        |     8    1.8      0    0.0    1.8 
      -10.517M         1.060M        |     9    2.0      0    0.0    2.0 
       -2.161M         1.060M        |    10    2.2      0    0.0    2.3 
     -605.572K         1.060M        |    11    2.5      0    0.0    2.5 
      -76.066K       472.108K        |    12    2.7      0    0.0    2.7 
      -41.333M       471.566K        |    13    3.0      0    0.0    3.0 
      -29.803M       470.970K        |    14    3.2      0    0.0    3.2 
       -9.723M       470.359K        |    15    3.4      0    0.0    3.5 
       -1.179M       469.765K        |    16    3.7      0    0.0    3.7 
       -3.602M       469.758K        |    17    3.9      0    0.0    3.9 
     -332.193K       469.729K        |    18    4.2      0    0.0    4.2 
       16.560K       394.181K        |    19    4.4      0    0.0    4.5 
      -42.575M        78.346K        |    20    4.7      0    0.0    4.7 
       -7.241M        78.340K        |    21    4.9      0    0.0    5.0 
       -2.253M        78.336K        |    22    5.2      0    0.0    5.3 
     -633.961K        78.333K        |    23    5.9      0    0.0    6.0 
     -432.907K        78.333K        |    24    6.3      0    0.0    6.3 
     -180.888K        78.332K        |    25    6.6      0    0.0    6.6 
       -1.633M        78.323K        |    26    6.8      0    0.0    6.9 
     -232.373K        78.314K        |    27    7.1      0    0.0    7.2 
        1.277K        78.310K        |    28    7.4      0    0.0    7.5 
        8.779K        10.914K        |    29    7.7      0    0.0    7.8 
        2.619K         9.244K        |    30    8.0      0    0.0    8.1 
        8.479K         7.902K        |    31    8.3      0    0.0    8.4 
      -76.637K         7.628K        |    32    8.6      0    0.0    8.7 
        3.862K         7.618K        |    33    9.0      0    0.0    9.0 
        6.091K         7.206K        |    34    9.3      0    0.0    9.4 
      -24.947K         7.206K        |    35    9.6      0    0.0    9.7 
        3.944K         7.206K        |    36    9.9      0    0.0   10.0 
        4.086K         7.187K        |    37   10.2      0    0.0   10.3 
        6.353K         7.159K        |    38   10.5      0    0.0   10.6 
     -169.499K         7.159K        |    39   10.9      0    0.0   11.0 
        4.068K         6.894K        |    40   11.2      0    0.0   11.3 
        6.756K         6.894K        |    41   11.5      0    0.0   11.6 
        6.416K         6.893K        |    42   11.9      0    0.0   12.0 
        6.917K         6.840K        |    43   12.2      0    0.0   12.3 
        8.467K         6.840K        |    44   12.5      0    0.0   12.6 
        8.629K         6.840K        |    45   12.9      0    0.0   13.0 
        3.711K         6.840K        |    46   13.2      0    0.0   13.3 
        6.733K         6.840K        |    47   13.5      0    0.0   13.6 
        9.424K         6.839K        |    48   13.9      0    0.0   14.0 
        6.709K         6.839K        |    49   14.2      0    0.0   14.3 
        5.214K         6.839K        |    50   14.6      0    0.0   14.7 
        5.377K         6.839K        |    51   14.9      0    0.0   15.0 
        4.313K         6.839K        |    52   15.2      0    0.0   15.4 
        6.622K         6.839K        |    53   15.6      0    0.0   15.7 
        6.524K         6.836K        |    54   15.9      0    0.0   16.1 
        9.403K         6.817K        |    55   16.3      0    0.0   16.4 
        9.050K         6.813K        |    56   16.7      0    0.0   16.8 
        6.880K         6.794K        |    57   17.0      0    0.0   17.1 
        6.309K         6.788K        |    58   17.4      0    0.0   17.5 
        4.018K         6.784K        |    59   17.7      0    0.0   17.8 
        3.989K         6.783K        |    60   18.1      0    0.0   18.2 
        6.581K         6.780K        |    61   18.4      0    0.0   18.5 
        5.233K         6.779K        |    62   18.8      0    0.0   18.9 
        6.556K         6.779K        |    63   19.1      0    0.0   19.3 
        6.930K         6.775K        |    64   19.5      0    0.0   19.6 
        6.962K         6.775K        |    65   19.9      0    0.0   20.0 
        4.131K         6.774K        |    66   20.2      0    0.0   20.4 
        9.147K         6.772K        |    67   20.6      0    0.0   20.7 
        6.739K         6.771K        |    68   21.0      0    0.0   21.1 
        9.734K         6.771K        |    69   21.3      0    0.0   21.5 
        7.619K         6.770K        |    70   21.7      0    0.0   21.8 
        7.860K         6.770K        |    71   22.1      0    0.0   22.2 
        5.279K         6.770K        |    72   22.5      0    0.0   22.6 
        6.623K         6.770K        |    73   22.9      0    0.0   23.0 
        8.140K         6.770K        |    74   23.3      0    0.0   23.4 
        5.155K         6.770K        |    75   23.7      0    0.0   23.8 
        6.522K         6.769K        |    76   24.0      0    0.0   24.2 
        8.166K         6.769K        |    77   24.4      0    0.0   24.6 
        7.191K         6.769K        |    78   24.8      0    0.0   25.0 
        9.556K         6.767K        |    79   25.2      0    0.0   25.4 
        4.190K         6.767K        |    80   25.6      0    0.0   25.8 
        4.066K         6.767K        |    81   26.1      0    0.0   26.2 
        9.801K         6.767K        |    82   26.4      0    0.0   26.6 
        6.813K         6.767K        |    83   26.8      0    0.0   27.0 
        3.987K         6.767K        |    84   27.3      0    0.0   27.4 
        7.840K         6.767K        |    85   27.7      0    0.0   27.9 
        6.828K         6.767K        |    86   28.1      0    0.0   28.3 
        8.188K         6.766K        |    87   28.5      0    0.0   28.7 
        8.197K         6.766K        |    88   29.0      0    0.0   29.1 
        5.445K         6.766K        |    89   29.4      0    0.0   29.6 
        6.831K         6.766K        |    90   29.8      0    0.0   30.0 
        4.251K         6.766K        |    91   30.3      0    0.0   30.4 
        9.563K         6.766K        |    92   30.7      0    0.0   30.9 
        3.860K         6.766K        |    93   31.1      0    0.0   31.3 
        5.542K         6.765K        |    94   31.6      0    0.0   31.8 
        6.953K         6.765K        |    95   32.1      0    0.0   32.3 
        5.395K         6.765K        |    96   32.5      0    0.0   32.7 
        5.568K         6.765K        |    97   33.0      0    0.0   33.2 
