--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
      -68.780M         1.060M        |     1    0.3      0    0.0    0.3 
      -60.462M         1.060M        |     2    0.5      0    0.0    0.5 
      -59.599M         1.060M        |     3    0.7      0    0.0    0.7 
      -44.037M         1.060M        |     4    0.9      0    0.0    0.9 
      -29.858M         1.060M        |     5    1.1      0    0.0    1.1 
      -15.490M         1.060M        |     6    1.3      0    0.0    1.3 
       -7.795M         1.060M        |     7    1.5      0    0.0    1.5 
       -6.036M         1.060M        |     8    1.7      0    0.0    1.7 
       -1.635M         1.060M        |     9    1.9      0    0.0    2.0 
       -1.153K        21.006K        |    10    2.2      0    0.0    2.2 
      -54.412M        20.997K        |    11    2.4      0    0.0    2.4 
      -36.936M        20.988K        |    12    2.6      0    0.0    2.6 
      -16.608M        20.979K        |    13    2.8      0    0.0    2.8 
       -7.005M        20.969K        |    14    3.1      0    0.0    3.1 
     -358.648K        20.959K        |    15    3.3      0    0.0    3.3 
     -969.186K        20.949K        |    16    3.6      0    0.0    3.6 
     -102.063K        20.940K        |    17    3.8      0    0.0    3.8 
     -680.787K        20.930K        |    18    4.1      0    0.0    4.1 
     -371.496K        20.920K        |    19    4.3      0    0.0    4.3 
       -1.209M        20.909K        |    20    4.6      0    0.0    4.6 
       -3.640M        20.789K        |    21    4.8      0    0.0    4.9 
       -2.247M        20.767K        |    22    5.1      0    0.0    5.1 
       -1.792M        20.754K        |    23    5.3      0    0.0    5.4 
       -2.051M        20.713K        |    24    5.6      0    0.0    5.6 
     -640.070K        20.713K        |    25    5.8      0    0.0    5.9 
     -164.477K        20.712K        |    26    6.1      0    0.0    6.1 
       -2.933M        20.697K        |    27    6.3      0    0.0    6.3 
       -1.321M        20.657K        |    28    6.7      0    0.0    6.8 
     -143.136K        14.927K        |    29    7.2      0    0.0    7.3 
       -7.397K        14.909K        |    30    7.5      0    0.0    7.6 
        2.742K        14.892K        |    31    7.8      0    0.0    7.8 
       -6.685K        14.855K        |    32    8.0      0    0.0    8.1 
      -14.249K        14.740K        |    33    8.4      0    0.0    8.4 
       -7.734K        14.728K        |    34    8.7      0    0.0    8.7 
        1.577K        14.724K        |    35    9.0      0    0.0    9.0 
     -557.418K        11.157K        |    36    9.2      0    0.0    9.3 
        5.040K        10.798K        |    37    9.5      0    0.0    9.5 
     -248.276K         9.217K        |    38    9.8      0    0.0    9.8 
        5.751K         8.698K        |    39   10.1      0    0.0   10.1 
        4.349K         8.688K        |    40   10.3      0    0.0   10.4 
        5.962K         8.678K        |    41   10.6      0    0.0   10.7 
        4.759K         8.363K        |    42   10.9      0    0.0   11.0 
        4.826K         8.349K        |    43   11.2      0    0.0   11.3 
        2.421K         8.348K        |    44   11.5      0    0.0   11.5 
        4.579K         8.258K        |    45   11.8      0    0.0   11.9 
        6.405K         8.137K        |    46   12.1      0    0.0   12.1 
        6.808K         8.037K        |    47   12.4      0    0.0   12.4 
        6.480K         8.022K        |    48   12.7      0    0.0   12.7 
        6.059K         7.975K        |    49   13.0      0    0.0   13.0 
        5.958K         7.937K        |    50   13.3      0    0.0   13.3 
        6.073K         7.891K        |    51   13.6      0    0.0   13.6 
        4.770K         7.891K        |    52   13.9      0    0.0   13.9 
        4.666K         7.888K        |    53   14.2      0    0.0   14.2 
        5.256K         7.873K        |    54   14.5      0    0.0   14.5 
        6.455K         7.841K        |    55   14.8      0    0.0   14.8 
        6.135K         7.839K        |    56   15.0      0    0.0   15.1 
        8.242K         7.800K        |    57   15.4      0    0.0   15.4 
        7.827K         7.589K        |    58   15.7      0    0.0   15.7 
        3.642K         7.331K        |    59   16.0      0    0.0   16.0 
        4.735K         7.330K        |    60   16.3      0    0.0   16.3 
        4.194K         7.327K        |    61   16.6      0    0.0   16.6 
        5.702K         7.323K        |    62   16.9      0    0.0   16.9 
        6.623K         7.320K        |    63   17.2      0    0.0   17.3 
        4.380K         7.316K        |    64   17.5      0    0.0   17.6 
        6.049K         7.291K        |    65   17.8      0    0.0   17.9 
        6.455K         7.274K        |    66   18.1      0    0.0   18.2 
        6.515K         7.012K        |    67   18.4      0    0.0   18.5 
        7.587K         6.743K        |    68   18.8      0    0.0   18.8 
        5.884K         6.727K        |    69   19.1      0    0.0   19.1 
        5.741K         6.726K        |    70   19.4      0    0.0   19.5 
        6.406K         6.726K        |    71   19.7      0    0.0   19.8 
        6.888K         6.699K        |    72   20.0      0    0.0   20.1 
        5.715K         6.697K        |    73   20.4      0    0.0   20.4 
        6.572K         6.638K        |    74   20.7      0    0.0   20.8 
        6.536K         6.620K        |    75   21.0      0    0.0   21.1 
        7.208K         6.593K        |    76   21.4      0    0.0   21.4 
        6.456K         6.592K        |    77   21.7      0    0.0   21.7 
        6.870K         6.560K        |    78   22.0      0    0.0   22.1 
        6.380K         6.530K        |    79   22.3      0    0.0   22.4 
        6.141K         6.485K        |    80   22.6      0    0.0   22.7 
        6.665K         6.484K        |    81   23.0      0    0.0   23.0 
        6.563K         6.482K        |    82   23.3      0    0.0   23.4 
        6.625K         6.479K        |    83   23.6      0    0.0   23.7 
        6.795K         6.479K        |    84   24.0      0    0.0   24.0 
        6.610K         6.475K        |    85   24.3      0    0.0   24.4 
        6.629K         6.459K        |    86   24.7      0    0.0   24.7 
        6.645K         6.434K        |    87   25.0      0    0.0   25.1 
        6.705K         6.414K        |    88   25.4      0    0.0   25.5 
        6.158K         6.391K        |    89   25.7      0    0.0   25.8 
        6.614K         6.366K        |    90   26.1      0    0.0   26.2 
        6.300K         6.365K        |    91   26.4      0    0.0   26.5 
        6.815K         6.365K        |    92   26.8      0    0.0   26.9 
        6.851K         6.360K        |    93   27.1      0    0.0   27.2 
        6.369K         6.352K        |    94   27.5      0    0.0   27.6 
        6.796K         6.351K        |    95   27.9      0    0.0   28.0 
        6.886K         6.335K        |    96   28.2      0    0.0   28.3 
        6.260K         6.334K        |    97   28.6      0    0.0   28.7 
